,trial_id,global_trial_end_date,first_pub_date,current_pub_date,version,results_type
134,2005-002965-35,2006-01-02,2014-12-03,2018-11-20,v2(current),Tabular
135,2005-003765-17,2007-10-01,2014-11-20,2016-11-27,v2(current),Document
136,2009-009877-85,2011-02-14,2015-02-04,2016-02-05,v1(current),Tabular
137,2006-000671-15,2006-08-09,2014-12-03,2016-02-05,v1(current),Tabular
138,2005-002401-23,2008-07-02,2014-09-27,2016-02-05,v1(current),Tabular
139,2012-001718-41,2014-11-03,2016-02-06,2016-02-06,v1(current),Tabular
140,2011-004590-90,2014-12-09,2016-02-06,2016-02-06,v1(current),Tabular
141,2014-005717-23,2015-06-01,2016-02-06,2016-02-06,v1(current),Tabular
142,2005-002059-41,2008-09-04,2016-02-06,2016-02-06,v1(current),Document
143,2006-000796-15,2008-03-05,2016-02-06,2016-02-06,v1(current),Document
144,2005-000709-70,2006-09-07,2016-02-06,2016-02-06,v1(current),Tabular
145,2005-005378-58,2008-05-05,2016-02-06,2016-02-06,v1(current),Document
146,2006-004623-12,2008-03-04,2016-02-06,2016-02-06,v1(current),Document
147,2013-003896-37,2015-01-08,2016-02-06,2016-02-06,v1(current),Mixed
148,2006-001879-38,2010-06-17,2016-02-07,2016-02-07,v1(current),Document
149,2007-002403-41,2010-02-23,2016-02-07,2016-02-07,v1(current),Document
150,2005-004671-38,2007-05-17,2016-02-07,2016-02-07,v1(current),Document
151,2004-000730-37,2006-08-01,2016-02-07,2016-02-07,v1(current),Document
152,2007-003571-39,2008-09-24,2016-02-07,2016-02-07,v1(current),Document
153,2005-000993-29,2008-05-30,2014-12-25,2016-02-08,v1(current),Document
154,2007-006595-11,2010-09-08,2014-09-27,2016-02-08,v1(current),Document
155,2014-001714-26,2013-09-02,2015-07-29,2016-02-08,v1(current),Tabular
156,2014-001711-40,2010-08-16,2015-08-02,2016-02-08,v1(current),Tabular
157,2014-001708-24,2017-11-21,2015-04-17,2018-12-07,v2(current),Tabular
158,2014-001709-41,2014-07-12,2015-07-29,2016-02-08,v1(current),Tabular
159,2012-001054-26,2014-01-10,2015-02-14,2016-02-08,v1(current),Tabular
160,2014-001710-25,2013-09-10,2015-07-29,2016-02-08,v1(current),Tabular
161,2014-001713-26,2014-10-14,2015-07-17,2016-02-08,v1(current),Tabular
162,2014-001707-53,2011-08-29,2014-12-06,2016-02-08,v1(current),Tabular
163,2014-001706-17,2007-08-27,2015-07-22,2016-02-08,v1(current),Tabular
164,2014-001716-19,,2015-08-02,2016-02-08,v1(current),Tabular
165,2014-001717-11,2012-08-14,2015-07-29,2016-02-08,v1(current),Tabular
166,2014-001736-11,2014-02-04,2015-07-29,2016-02-08,v1(current),Tabular
167,2010-021414-32,2013-12-20,2015-07-09,2016-02-09,v1(current),Tabular
168,2010-021995-27,2014-08-18,2015-08-12,2016-07-08,v3(current),Tabular
169,2006-001482-42,2007-11-15,2015-06-14,2016-02-27,v2(current),Tabular
170,2013-004719-32,2014-06-13,2015-07-03,2016-02-09,v1(current),Tabular
171,2007-001012-23,2007-06-07,2016-02-10,2016-02-10,v1(current),Document
172,2008-007872-99,2013-04-09,2016-02-10,2016-02-10,v1(current),Document
173,2012-000825-33,2010-12-27,2016-02-10,2016-02-10,v1(current),Tabular
174,2006-006143-31,2008-12-19,2016-02-10,2016-02-10,v1(current),Document
175,2010-022921-13,2012-05-07,2016-02-10,2016-02-10,v1(current),Document
176,2012-002309-23,2015-01-26,2016-02-06,2016-02-06,v1(current),Tabular
177,2008-006380-36,2012-07-23,2015-05-15,2016-02-10,v1(current),Document
178,2006-003427-37,2009-07-24,2015-05-15,2016-02-10,v1(current),Document
179,2005-005552-41,2012-01-26,2015-05-14,2016-02-10,v1(current),Document
180,2008-006750-17,2012-07-16,2015-05-15,2016-02-10,v1(current),Document
181,2014-005021-13,2006-10-04,2015-07-15,2016-02-10,v1(current),Tabular
182,2006-001577-13,2008-08-31,2015-07-05,2016-02-10,v1(current),Tabular
183,2005-005450-45,2008-04-03,2015-07-15,2016-02-10,v1(current),Tabular
184,2014-004581-16,2009-02-28,2015-07-25,2016-02-10,v1(current),Tabular
185,2014-004911-35,2007-07-31,2015-07-15,2016-02-10,v1(current),Tabular
186,2014-004918-28,2008-10-14,2015-06-13,2016-02-10,v1(current),Tabular
187,2012-003140-68,2014-01-16,2015-06-13,2016-02-10,v1(current),Tabular
188,2014-004916-12,2007-07-20,2015-07-15,2016-02-10,v1(current),Tabular
189,2015-001656-29,2013-10-22,2015-07-17,2016-02-10,v1(current),Tabular
190,2014-005030-54,2006-07-31,2015-07-15,2016-02-10,v1(current),Tabular
191,2006-003648-46,2008-06-03,2015-06-03,2016-02-10,v1(current),Tabular
192,2011-004432-58,2008-07-07,2014-07-31,2016-02-10,v1(current),Tabular
193,2011-005374-33,2014-06-25,2015-07-17,2016-02-10,v1(current),Tabular
194,2011-004449-42,2011-09-28,2014-09-12,2016-02-10,v1(current),Tabular
195,2011-004455-39,2008-06-13,2014-07-12,2016-02-10,v1(current),Tabular
196,2011-004433-14,2009-08-18,2014-07-31,2016-02-10,v1(current),Tabular
197,2011-004450-26,2011-09-07,2014-11-20,2016-02-10,v1(current),Tabular
198,2011-004456-19,2009-05-28,2014-09-27,2016-02-10,v1(current),Tabular
199,2011-004457-87,2007-11-19,2014-07-31,2016-02-10,v1(current),Tabular
200,2011-004434-33,2009-05-19,2014-08-20,2016-02-10,v1(current),Tabular
201,2011-004454-26,2007-06-18,2014-09-12,2016-02-10,v1(current),Tabular
202,2012-005243-25,2013-07-30,2014-12-03,2016-02-10,v1(current),Tabular
203,2014-001715-39,2012-05-15,2015-07-29,2016-02-10,v1(current),Tabular
204,2011-004428-36,2012-12-10,2014-09-27,2016-02-10,v1(current),Tabular
205,2006-001156-12,2006-11-28,2015-04-26,2016-02-10,v1(current),Document
206,2005-002574-29,2006-04-05,2015-04-17,2016-02-10,v1(current),Document
207,2010-020746-98,2011-06-07,2015-04-26,2016-02-10,v1(current),Document
208,2004-004974-94,2006-02-17,2015-04-01,2016-02-10,v1(current),Document
209,2010-023627-14,2012-01-10,2015-04-26,2016-02-10,v1(current),Document
210,2007-004872-37,2008-07-11,2015-04-26,2016-02-10,v1(current),Document
211,2005-004669-40,2007-08-02,2016-02-11,2016-02-11,v1(current),Document
212,2005-004667-36,2007-06-20,2016-02-11,2016-02-11,v1(current),Document
213,2007-005687-27,2009-02-28,2016-02-11,2016-02-11,v1(current),Document
214,2006-004455-37,2009-05-13,2016-02-11,2016-02-11,v1(current),Document
215,2005-004668-22,2007-06-12,2016-02-11,2016-02-11,v1(current),Document
216,2005-004670-24,2007-07-05,2016-02-11,2016-02-11,v1(current),Document
217,2006-000694-30,2008-03-17,2016-02-11,2016-02-11,v1(current),Document
218,2007-000135-26,2008-06-05,2016-02-11,2016-03-24,v2(current),Tabular
219,2008-004405-34,2011-02-28,2016-02-12,2016-02-12,v1(current),Document
220,2005-005786-11,2008-09-16,2016-02-12,2016-02-12,v1(current),Document
221,2011-001516-54,2012-09-27,2016-02-12,2016-02-12,v1(current),Document
222,2011-005055-14,2013-04-08,2016-02-12,2016-02-12,v1(current),Document
223,2005-003136-22,2010-10-05,2016-02-12,2016-02-12,v1(current),Document
224,2005-001193-28,2010-03-22,2016-02-12,2016-02-12,v1(current),Document
225,2005-004096-37,2011-04-12,2016-02-12,2016-02-12,v1(current),Document
226,2005-001564-31,2009-03-30,2016-02-12,2016-02-12,v1(current),Document
227,2006-004714-40,2012-08-10,2016-02-12,2016-02-12,v1(current),Document
228,2004-003771-37,2010-07-21,2014-11-09,2016-02-12,v1(current),Document
229,2005-003319-64,2007-12-18,2014-11-09,2016-02-12,v1(current),Document
230,2006-002407-14,2007-12-17,2014-11-09,2016-02-12,v1(current),Document
231,2007-004223-38,2011-10-20,2014-11-09,2016-02-12,v1(current),Document
232,2008-001095-77,2009-08-10,2014-11-01,2016-02-12,v1(current),Document
233,2008-002301-38,2010-09-16,2014-11-02,2016-02-12,v1(current),Document
234,2008-000406-36,2008-10-30,2014-11-02,2016-02-12,v1(current),Document
235,2008-000826-37,2010-03-09,2014-11-14,2016-02-12,v1(current),Document
236,2008-000827-25,2010-11-16,2014-11-14,2016-02-12,v1(current),Document
237,2008-001567-10,2008-08-28,2014-11-20,2016-02-12,v1(current),Document
238,2008-000727-26,2009-02-25,2014-11-02,2016-02-12,v1(current),Document
239,2008-001507-39,2013-05-20,2014-11-02,2016-02-12,v1(current),Document
240,2008-002747-16,2010-05-11,2014-11-01,2016-02-12,v1(current),Document
241,2008-002101-39,2009-09-09,2014-11-20,2016-02-12,v1(current),Document
242,2008-002205-40,2012-01-31,2014-11-21,2016-02-12,v1(current),Document
243,2008-002144-42,2011-03-01,2014-11-01,2016-02-12,v1(current),Document
244,2008-002046-27,2011-05-02,2014-11-20,2016-02-12,v1(current),Document
245,2008-002580-13,2009-09-03,2014-11-13,2016-02-12,v1(current),Document
246,2008-000725-18,2008-10-19,2014-11-20,2016-02-12,v1(current),Document
247,2008-004181-10,2011-07-04,2014-11-06,2016-02-12,v1(current),Document
248,2009-010571-24,2012-10-25,2014-11-12,2016-02-12,v1(current),Document
249,2008-006345-72,2009-09-23,2014-11-12,2016-02-12,v1(current),Document
250,2008-008175-34,2010-11-19,2014-11-12,2016-02-12,v1(current),Document
251,2008-005041-33,2011-01-31,2014-11-12,2016-02-12,v1(current),Document
252,2008-007244-33,2010-06-02,2014-11-13,2016-02-12,v1(current),Document
253,2008-007662-37,2013-01-18,2014-11-02,2016-02-12,v1(current),Document
254,2009-010615-32,2012-03-06,2014-11-12,2016-02-12,v1(current),Document
255,2008-004933-99,2009-07-27,2014-11-20,2016-02-12,v1(current),Document
256,2008-004092-22,2008-11-27,2014-11-20,2016-02-12,v1(current),Document
257,2009-013064-40,2011-10-17,2014-11-01,2016-02-12,v1(current),Document
258,2009-014415-12,2012-03-23,2014-11-21,2016-02-12,v1(current),Document
259,2009-011855-40,2011-05-05,2014-11-12,2016-02-12,v1(current),Document
260,2009-012836-33,2010-08-23,2014-11-13,2016-02-12,v1(current),Document
261,2009-013065-25,2011-04-14,2014-11-02,2016-02-12,v1(current),Document
262,2009-013063-19,2011-10-31,2014-11-01,2016-02-12,v1(current),Document
263,2009-013067-19,2011-02-08,2014-11-02,2016-02-12,v1(current),Document
264,2008-008254-23,2009-12-18,2014-11-13,2016-02-12,v1(current),Document
265,2010-019465-28,2011-05-31,2014-11-06,2016-02-12,v1(current),Document
266,2009-016581-80,2010-10-12,2014-11-02,2016-02-12,v1(current),Document
267,2009-015386-30,2011-10-12,2014-11-01,2016-02-12,v1(current),Document
268,2009-014543-36,2010-05-15,2014-11-02,2016-02-12,v1(current),Document
269,2010-019157-17,2011-05-19,2014-11-01,2016-02-12,v1(current),Document
270,2010-019695-76,2011-12-21,2014-10-31,2016-02-12,v1(current),Document
271,2009-016690-15,2010-07-04,2014-11-02,2016-02-12,v1(current),Document
272,2010-019690-15,2011-09-09,2014-11-06,2016-02-12,v1(current),Document
273,2009-011459-39,2009-08-14,2014-11-13,2016-02-12,v1(current),Document
274,2009-016663-11,2011-05-27,2014-11-13,2016-02-12,v1(current),Document
275,2010-018738-27,2010-12-29,2014-10-22,2016-02-12,v1(current),Document
276,2009-010091-17,2010-07-19,2014-11-13,2016-02-12,v1(current),Document
277,2009-011200-39,2010-07-07,2014-11-13,2016-02-12,v1(current),Document
278,2009-017669-44,2010-09-24,2014-11-21,2016-02-12,v1(current),Document
279,2008-004149-27,2010-07-19,2014-11-12,2016-02-12,v1(current),Document
280,2008-005319-16,2009-12-11,2014-11-12,2016-02-12,v1(current),Document
281,2011-005678-47,2013-04-11,2016-02-13,2016-02-13,v1(current),Document
282,2009-011357-41,2015-02-03,2016-02-13,2016-02-13,v1(current),Tabular
283,2011-006294-26,2014-11-11,2016-02-13,2016-02-13,v1(current),Tabular
284,2009-016720-31,2012-05-03,2016-02-13,2016-02-13,v1(current),Tabular
285,2009-009235-30,2014-12-08,2016-02-13,2016-02-13,v1(current),Mixed
286,2007-004834-18,2009-02-18,2016-02-13,2016-02-13,v1(current),Tabular
287,2004-000962-11,2009-02-03,2016-02-13,2016-02-13,v1(current),Document
288,2004-001623-38,2009-09-11,2016-02-13,2016-02-13,v1(current),Tabular
289,2004-001904-10,2007-07-31,2016-02-13,2016-02-13,v1(current),Document
290,2006-006845-14,2008-11-06,2016-02-13,2016-02-13,v1(current),Tabular
291,2011-003283-78,2013-12-18,2016-02-14,2016-02-14,v1(current),Tabular
292,2015-005181-33,2013-01-17,2016-02-14,2016-02-14,v1(current),Tabular
293,2011-004370-28,2014-06-26,2016-02-14,2016-02-14,v1(current),Tabular
294,2013-002861-20,2014-08-25,2016-02-14,2016-02-14,v1(current),Tabular
295,2011-002640-27,2013-09-30,2016-02-14,2016-02-14,v1(current),Tabular
296,2010-024033-24,2013-10-15,2016-02-14,2016-02-14,v1(current),Tabular
297,2010-021800-72,2012-04-24,2014-11-06,2016-02-15,v1(current),Document
298,2010-022279-77,2011-08-19,2014-11-06,2016-02-15,v1(current),Document
299,2010-019989-91,2011-10-11,2014-11-05,2016-02-15,v1(current),Document
300,2010-022796-62,2011-09-02,2014-11-06,2016-02-15,v1(current),Document
301,2010-020826-17,2011-03-22,2014-11-05,2016-02-15,v1(current),Document
302,2010-021642-22,2012-01-19,2014-11-06,2016-02-15,v1(current),Document
303,2010-021802-39,2012-04-10,2014-11-06,2016-02-15,v1(current),Document
304,2010-022510-11,2012-03-07,2014-11-05,2016-02-15,v1(current),Document
305,2010-023349-32,2012-04-05,2014-11-06,2016-02-15,v1(current),Document
306,2010-020352-59,2012-09-18,2014-11-06,2016-02-15,v1(current),Document
307,2010-022280-35,2011-04-14,2014-11-02,2016-02-15,v1(current),Document
308,2011-000243-24,2012-04-16,2014-11-06,2016-02-15,v1(current),Document
309,2011-002451-33,2012-12-21,2014-11-06,2016-02-15,v1(current),Document
310,2010-023442-75,2012-06-14,2014-11-06,2016-02-15,v1(current),Document
311,2010-024435-16,2012-08-06,2014-11-06,2016-02-15,v1(current),Document
312,2011-001645-33,2012-02-13,2014-11-06,2016-02-15,v1(current),Document
313,2011-000484-28,2012-03-06,2014-11-06,2016-02-15,v1(current),Document
314,2011-001581-18,2012-11-30,2014-11-06,2016-02-15,v1(current),Document
315,2010-023418-29,2011-12-13,2014-11-06,2016-02-15,v1(current),Document
316,2010-023837-45,2013-04-08,2014-11-06,2016-02-15,v1(current),Document
317,2011-000485-35,2012-03-05,2014-11-06,2016-02-15,v1(current),Document
318,2010-023419-33,2012-01-24,2014-11-06,2016-02-15,v1(current),Document
319,2011-000115-11,2011-07-07,2014-10-25,2016-02-15,v1(current),Document
320,2011-000483-94,2012-09-17,2014-11-06,2016-02-15,v1(current),Document
321,2010-023444-32,2012-07-16,2014-11-06,2016-02-15,v1(current),Document
322,2011-002943-92,2012-11-08,2014-11-06,2016-02-15,v1(current),Document
323,2011-005244-95,2013-02-05,2014-11-06,2016-02-15,v1(current),Document
324,2012-003105-10,2013-06-20,2014-11-06,2016-02-15,v1(current),Document
325,2012-004049-34,2013-05-27,2014-11-06,2016-02-15,v1(current),Document
326,2012-003106-27,2013-06-17,2014-11-06,2016-02-15,v1(current),Document
327,2011-004436-61,2012-11-14,2014-11-05,2016-02-15,v1(current),Document
328,2012-004050-29,2013-05-07,2014-11-06,2016-02-15,v1(current),Document
329,2011-005914-12,2013-03-06,2014-11-06,2016-02-15,v1(current),Document
330,2012-000384-24,2012-10-22,2014-11-06,2016-02-15,v1(current),Document
331,2010-023238-22,2014-06-23,2015-06-12,2016-02-16,v1(current),Tabular
332,2011-004172-11,2013-03-22,2015-07-09,2016-02-16,v1(current),Mixed
333,2011-000864-82,2013-06-12,2014-06-26,2016-02-16,v1(current),Tabular
334,2012-002078-30,2014-06-18,2015-08-05,2016-02-16,v1(current),Tabular
335,2004-000406-51,2007-04-15,2014-11-08,2016-02-16,v1(current),Document
336,2004-004342-41,2007-07-26,2014-11-08,2016-02-16,v1(current),Document
337,2004-001680-22,2005-07-01,2014-11-08,2016-02-16,v1(current),Document
338,2004-004090-29,2008-08-08,2014-11-13,2016-02-16,v1(current),Document
339,2004-000985-12,2006-04-10,2014-11-08,2016-02-16,v1(current),Document
340,2004-000482-35,2006-12-08,2014-11-08,2016-02-16,v1(current),Document
341,2004-001905-93,2006-11-01,2014-11-08,2016-02-16,v1(current),Document
342,2004-001894-24,2005-08-30,2014-11-08,2016-02-16,v1(current),Document
343,2004-004406-24,2006-01-04,2014-11-13,2016-02-16,v1(current),Document
344,2004-002872-41,2007-05-06,2014-11-08,2016-02-16,v1(current),Document
345,2004-000369-37,2005-08-23,2014-11-08,2016-02-16,v1(current),Document
346,2004-001906-29,2010-05-31,2014-11-08,2016-02-16,v1(current),Document
347,2004-001469-16,2006-10-20,2014-11-13,2016-02-16,v1(current),Document
348,2004-000754-24,2006-05-22,2014-11-08,2016-02-16,v1(current),Document
349,2004-000367-98,2007-01-31,2014-11-13,2016-02-16,v1(current),Document
350,2004-000370-31,2005-08-08,2014-11-08,2016-02-16,v1(current),Document
