,trial_id,global_trial_end_date,first_pub_date,current_pub_date,version,results_type
0,2015-001216-35,2008-07-23,2016-01-29,2016-07-01,v2(current),Tabular
1,2004-000086-35,2005-12-20,2016-01-30,2016-01-30,v1(current),Document
2,2007-002462-35,2008-08-27,2016-01-30,2016-01-30,v1(current),Document
3,2006-000870-63,2010-04-16,2016-01-30,2016-01-30,v1(current),Document
4,2004-000087-27,2005-12-27,2016-01-30,2016-01-30,v1(current),Document
5,2008-005768-15,2010-08-23,2016-01-30,2016-01-30,v1(current),Document
6,2007-004169-16,2010-09-14,2016-01-30,2016-01-30,v1(current),Document
7,2007-002476-33,2008-07-23,2016-01-30,2016-01-30,v1(current),Document
8,2007-002474-60,2008-06-20,2016-01-30,2016-01-30,v1(current),Document
9,2008-005769-71,2010-05-31,2016-01-30,2016-01-30,v1(current),Document
10,2009-013412-13,2010-12-02,2016-01-30,2016-01-30,v1(current),Document
11,2009-011105-17,2011-07-22,2016-01-30,2016-01-30,v1(current),Document
12,2005-004782-41,2009-01-25,2016-01-30,2016-01-30,v1(current),Document
13,2008-003789-24,2010-12-31,2016-01-30,2016-01-30,v1(current),Document
14,2009-012355-15,2010-04-16,2016-01-30,2016-01-30,v1(current),Document
15,2008-005767-34,2010-10-25,2016-01-30,2016-01-30,v1(current),Document
16,2009-011271-78,2010-10-26,2016-01-30,2016-01-30,v1(current),Document
17,2005-003632-22,2012-05-10,2016-01-30,2016-01-30,v1(current),Document
18,2004-002854-78,2008-02-29,2016-01-30,2016-01-30,v1(current),Document
19,2009-015721-36,2011-06-16,2016-01-31,2016-01-31,v1(current),Document
20,2010-019051-21,2012-07-20,2016-01-31,2016-01-31,v1(current),Document
21,2010-018331-18,2012-03-06,2016-01-31,2016-01-31,v1(current),Document
22,2005-000888-26,2006-05-29,2016-01-31,2016-06-22,v2(current),Document
23,2007-003766-17,2013-05-27,2014-12-25,2016-01-31,v3(current),Tabular
24,2008-005777-35,2010-10-28,2016-01-31,2016-01-31,v1(current),Document
25,2010-023482-21,2012-02-01,2016-01-31,2016-06-22,v2(current),Document
26,2008-006443-39,2010-12-14,2016-01-31,2016-01-31,v1(current),Document
27,2009-011672-29,2010-12-08,2016-01-31,2016-01-31,v1(current),Document
28,2005-006161-13,2010-01-28,2016-01-31,2016-01-31,v1(current),Document
29,2005-000859-15,2008-05-01,2016-01-31,2016-01-31,v1(current),Document
30,2005-004662-16,2010-04-16,2016-01-31,2016-01-31,v1(current),Document
31,2009-013326-17,2010-12-27,2016-01-31,2016-01-31,v1(current),Tabular
32,2006-005144-84,2011-11-02,2016-01-31,2016-01-31,v1(current),Document
33,2007-006611-23,2012-02-03,2016-01-31,2016-01-31,v1(current),Document
34,2008-005774-13,2010-11-08,2016-01-31,2016-01-31,v1(current),Document
35,2009-012218-30,2011-09-30,2016-01-31,2016-01-31,v1(current),Document
36,2009-010662-28,2010-11-26,2016-01-31,2016-01-31,v1(current),Document
37,2009-015595-10,2013-08-09,2016-01-31,2016-01-31,v1(current),Tabular
38,2009-012923-27,2011-05-23,2016-01-31,2016-01-31,v1(current),Document
39,2006-001378-26,2007-09-12,2016-01-31,2016-01-31,v1(current),Tabular
40,2006-004093-27,2011-05-25,2016-01-31,2016-01-31,v1(current),Document
41,2006-001518-34,2010-03-23,2016-01-31,2016-01-31,v1(current),Document
42,2008-005776-27,2010-12-13,2016-01-31,2016-01-31,v1(current),Document
43,2010-022337-29,2011-12-20,2016-01-31,2016-01-31,v1(current),Document
44,2008-001524-31,2010-07-14,2015-07-22,2016-01-29,v1(current),Document
45,2007-002716-26,2014-12-22,2016-01-29,2016-01-29,v1(current),Tabular
46,2006-006529-25,2014-10-13,2016-01-30,2016-01-30,v1(current),Tabular
47,2006-004565-33,2007-12-10,2015-05-02,2016-02-01,v1(current),Document
48,2007-001471-11,2007-11-16,2015-05-16,2016-02-01,v1(current),Document
49,2010-023636-17,2014-03-19,2015-03-18,2016-03-30,v2(current),Tabular
50,2008-008259-41,2011-08-26,2015-02-11,2016-02-01,v1(current),Tabular
51,2009-009986-32,2011-01-20,2014-12-04,2016-02-01,v1(current),Tabular
52,2011-006066-40,2014-12-31,2015-04-29,2016-02-01,v1(current),Tabular
53,2010-024100-10,2013-05-03,2014-11-20,2016-02-01,v1(current),Tabular
54,2011-004983-32,2014-06-10,2015-07-31,2016-02-01,v1(current),Tabular
55,2011-004964-32,2013-03-20,2015-07-31,2016-02-01,v1(current),Tabular
56,2006-006557-28,2008-12-22,2014-08-23,2016-02-01,v1(current),Document
57,2005-005185-36,2007-06-05,2014-08-21,2016-02-01,v1(current),Document
58,2006-001514-33,2008-03-14,2014-08-22,2016-02-01,v1(current),Document
59,2010-020794-16,2011-03-25,2014-08-23,2016-02-01,v1(current),Document
60,2008-004833-70,2009-08-06,2014-08-23,2016-02-01,v1(current),Document
61,2008-003597-18,2013-01-12,2014-09-26,2016-02-01,v1(current),Tabular
62,2009-010963-18,2010-06-08,2015-07-22,2016-02-01,v1(current),Tabular
63,2004-002203-32,2010-12-17,2015-07-18,2016-02-01,v1(current),Document
64,2008-005456-24,2012-10-15,2015-07-22,2016-02-01,v1(current),Tabular
65,2011-005109-56,2014-12-05,2015-08-06,2016-04-16,v2(current),Tabular
66,2010-023852-10,2013-07-19,2015-08-02,2016-02-01,v1(current),Tabular
67,2010-022266-27,2014-09-15,2015-07-03,2016-02-01,v1(current),Tabular
68,2011-005336-25,2014-07-04,2015-05-15,2016-02-02,v2(current),Mixed
69,2006-001486-41,2010-11-30,2014-12-28,2016-02-02,v2(current),Tabular
70,2004-002802-31,2006-02-10,2015-05-10,2016-02-02,v1(current),Document
71,2004-003814-40,2009-10-13,2015-05-28,2016-02-02,v1(current),Document
72,2004-003815-22,2006-11-08,2015-05-28,2016-02-02,v1(current),Document
73,2007-003578-24,2009-03-23,2015-05-28,2016-02-02,v1(current),Document
74,2006-006913-34,2011-10-20,2015-05-28,2016-02-02,v1(current),Document
75,2008-005276-27,2011-03-03,2015-05-28,2016-02-02,v1(current),Document
76,2005-005595-33,2007-10-08,2015-05-28,2016-02-02,v1(current),Document
77,2008-006775-67,2010-07-16,2015-05-14,2016-02-02,v1(current),Document
78,2006-000415-15,2007-08-11,2015-05-14,2016-02-02,v1(current),Document
79,2005-004943-72,2009-09-16,2015-05-28,2016-02-02,v1(current),Document
80,2008-005232-33,2011-09-26,2015-05-28,2016-02-02,v1(current),Document
81,2008-000585-22,2011-12-29,2015-04-17,2016-02-02,v1(current),Document
82,2010-019411-37,2013-01-22,2015-04-17,2016-02-02,v1(current),Document
83,2007-001650-77,2008-08-18,2015-05-28,2016-02-02,v1(current),Document
84,2009-012325-11,2011-03-28,2015-07-23,2016-02-02,v1(current),Document
85,2006-004684-58,2008-08-27,2015-05-14,2016-02-02,v1(current),Document
86,2014-000388-41,2015-04-22,2016-02-03,2016-02-03,v1(current),Tabular
87,2010-024150-10,2012-08-02,2016-02-03,2016-06-22,v2(current),Document
88,2011-004431-31,2008-01-02,2014-07-31,2016-02-03,v1(current),Tabular
89,2011-004095-10,2013-05-09,2015-07-24,2016-02-03,v1(current),Tabular
90,2011-005710-11,2013-12-03,2015-06-28,2016-02-03,v1(current),Tabular
91,2011-004108-39,2013-07-26,2015-07-17,2016-02-03,v1(current),Tabular
92,2010-019632-12,2012-05-07,2016-02-04,2016-02-04,v1(current),Tabular
93,2012-001044-22,2013-10-18,2016-02-04,2016-02-04,v1(current),Tabular
94,2007-004824-19,2009-03-19,2016-02-04,2016-02-04,v1(current),Document
95,2008-003657-32,2011-12-22,2016-02-04,2016-02-04,v1(current),Document
96,2004-002032-26,2010-01-22,2016-02-04,2016-02-04,v1(current),Document
97,2008-008309-23,2011-10-04,2016-02-04,2016-02-04,v1(current),Document
98,2005-005506-23,2009-04-30,2016-02-04,2016-02-04,v1(current),Document
99,2005-005507-41,2009-04-22,2016-02-04,2016-02-04,v1(current),Document
100,2010-021191-29,2012-06-12,2016-02-04,2016-02-04,v1(current),Document
101,2007-003165-41,2011-07-31,2016-02-04,2016-02-04,v1(current),Document
102,2011-006013-34,2015-06-29,2016-02-04,2016-07-21,v2(current),Tabular
103,2008-003098-42,2009-02-17,2015-03-26,2016-02-04,v1(current),Document
104,2008-006333-27,2013-10-24,2015-02-21,2016-02-04,v1(current),Tabular
105,2008-001314-24,2010-11-19,2015-03-26,2016-02-04,v1(current),Document
106,2013-001055-12,2014-07-07,2015-07-29,2016-02-04,v1(current),Tabular
107,2010-024000-10,2014-10-03,2015-07-15,2016-02-04,v1(current),Tabular
108,2012-005082-13,2014-09-24,2015-04-04,2016-02-04,v1(current),Tabular
109,2010-020369-26,2012-02-29,2015-01-28,2016-02-04,v1(current),Document
110,2009-015556-15,2012-04-17,2015-03-26,2016-02-04,v1(current),Document
111,2006-000438-11,2006-08-04,2016-02-05,2016-02-05,v1(current),Document
112,2007-005799-15,2010-07-27,2016-02-05,2016-07-07,v2(current),Document
113,2011-005722-21,2015-07-21,2016-02-05,2016-02-05,v1(current),Tabular
114,2011-000385-35,2015-05-12,2016-02-05,2016-02-05,v1(current),Tabular
115,2012-000780-24,2014-12-15,2016-02-05,2016-02-05,v1(current),Tabular
116,2014-004402-15,2015-05-12,2016-02-05,2016-02-05,v1(current),Tabular
117,2008-002100-26,2010-11-18,2015-05-28,2016-02-02,v1(current),Document
118,2008-004338-26,2010-03-03,2015-05-28,2016-02-02,v1(current),Document
119,2008-008604-40,2011-03-03,2015-05-28,2016-02-02,v1(current),Document
120,2011-000633-36,2013-03-25,2015-05-14,2016-02-02,v1(current),Document
121,2011-003073-28,2013-12-05,2015-01-24,2016-02-05,v2(current),Tabular
122,2009-009977-85,2009-06-18,2015-01-29,2016-02-05,v1(current),Tabular
123,2011-001976-21,2012-06-11,2015-01-29,2016-02-05,v1(current),Tabular
124,2005-004133-17,2007-05-28,2015-01-30,2016-11-27,v2(current),Tabular
125,2008-000943-33,2008-07-23,2014-12-03,2016-02-05,v1(current),Tabular
126,2009-013346-83,2010-11-02,2015-01-29,2016-02-05,v1(current),Tabular
127,2006-002369-37,2007-06-06,2014-12-04,2016-02-05,v1(current),Tabular
128,2009-017688-40,2010-06-24,2015-01-29,2016-02-05,v1(current),Tabular
129,2007-000752-14,2007-07-03,2014-12-03,2016-02-05,v1(current),Tabular
130,2009-013344-37,2010-10-08,2015-01-29,2016-02-05,v1(current),Tabular
131,2006-000477-29,2008-12-23,2014-12-03,2016-02-05,v1(current),Tabular
132,2005-005532-27,2006-10-31,2015-03-27,2016-02-05,v1(current),Tabular
133,2006-000898-30,2007-09-17,2015-01-30,2016-02-05,v1(current),Tabular
